word,meaning,children,parent,related,images,reference
ละบม,"(๑) ก. รู้สึกขัดเมื่อยฟกชํ้าอยู่ข้างใน (โดยมากใช้ ระบม). (๒) ก. รม, ทา. (โดยมากใช้ ระบม).",,,,,
ละบอง,น. เม็ดตุ่ม ๆ เกิดตามผิวเนื้อด้วยพิษร้อนหรือพิษอักเสบ.,"ละบองราหู, ละบองไฟ",,,,
ละบองไฟ,"น. เม็ดตุ่มเกิดแก่หญิงกำลังอยู่ไฟ, ผดไฟ.",,ละบอง,,,
ละบองราหู,"น. ชื่อโรคซางชนิดหนึ่ง เกิดแก่ทารกแรกเกิดจนถึงอายุ ๑๒ เดือน, กระบองราหู ตะบองราหู หรือ ลำบองราหู ก็เรียก.",,ละบอง,,,
ละบัด,"(๑) ก. ลัด, ผลิ, แตกใบอ่อน, แตกขนอ่อน. (โดยมากใช้ ระบัด). (๒) ว. พึ่งลัด, พึ่งผลิ, อ่อน. (โดยมากใช้ ระบัด).",,,,,
ละบู,น. ลำบุ.,,,,,
ละบือ,"ก. ลือ, เลื่องลือ. (โดยมากใช้ ระบือ).",,,,,
ละเบ็ง,"ว. ดัง, ดังอื้ออึงแซ่ไปหมด, ระเบ็ง ก็ว่า.",,,,,
ละโบม,"ก. โลม, ลูบคลำ, เคล้าคลึง.",,,,,
ละม่อม,"(๑) ว. สุภาพ, อ่อนโยน, (ใช้แก่กิริยาอาการที่เรียบร้อย งดงาม ไม่ขัดเขิน ไม่กระด้าง), มักใช้เข้าคู่กับคำ ละมุน เป็น ละมุนละม่อม หมายความว่า อ่อนโยน นิ่มนวล (๒) ว. โดยไม่มีการขัดขืน (ใช้แก่การจับกุม) เช่น ตำรวจจับผู้ร้ายได้โดยละม่อม.",,,,,
ละมั่ง,**ดู ละองละมั่ง** .,,,ละองละมั่ง,,
ละมา,"น. กาล, คราว, เวลา.",,,,,
ละมาน,น. ข้าวละมาน. **(ดู ข้าวป่า ที่ ข้าว)** .,,,ข้าวป่า,,
ละม้าย,"ว. คล้าย, เกือบจะเหมือน, เช่น หน้าตาละม้ายไปทางแม่.",,,,,
ละมุ ๑,น. โป๊ะเล็ก ๆ ที่ทำไว้สำหรับจับปลาตามชายทะเล.,,,,,
ละมุ ๒,(ถิ่น-อีสาน) น. กลุ่มต้นไม้เล็ก ๆ ตามชายห้วย หนอง บึง.,,,,,
ละมุด,"(๑) น. ชื่อไม้ต้น ๒ ชนิดในสกุล **Manilkara** วงศ์ Sapotaceae ผลสุกรสหวาน กินได้ คือ ละมุดฝรั่ง [ **M** . **zapota** (L.) P. Royen] ผลสุกสีนํ้าตาล, ละมุดสีดา หรือละมุดไทย [ **M** . **kauki** (L.) Dubard] ผลสุกสีแดงคลํ้า. (๒) น. เรียกขนุนพันธุ์ที่มียวงสีเหลือง เนื้อเหลว ว่า ขนุนละมุด. **(ดู ขนุน ๑)** .",,,ขนุน ๑,,
ละมุน,"ว. อ่อนนุ่ม, นุ่มนวล, เช่น ผ้ากำมะหยี่เนื้อนิ่มละมุนมือ.","ละมุนละม่อม, ละมุนละไม",,,,
ละมุนละม่อม,"ว. อ่อนโยน, นิ่มนวล, เช่น เขามีกิริยาท่าทางละมุนละม่อม.",,ละมุน,,,
ละมุนละไม,"(๑) ว. อ่อนนุ่มพอดี ๆ ไม่สวยและไม่แฉะ เช่น หุงข้าวได้ละมุนละไม ข้าวเหนียวมูนได้ละมุนละไม (๒) ว. เรียบร้อย, นุ่มนวล, เช่น เด็กคนนี้มีกิริยามารยาทละมุนละไม.",,ละมุน,,,
ละเม็ด,น. ชนชาวเขาจำพวกข่า อยู่ทางแคว้นสิบสองจุไทย.,,,,,
ละเมอ,"ก. พูด ทำ หรือแสดงในเวลาหลับ, (ปาก) โดยปริยายหมายความว่า หลงเพ้อ เช่น เขากลับไปนานแล้ว ยังละเมอว่าเขายังอยู่, มะเมอ ก็ว่า.",,,,,
ละเมาะ ๑,"น. หมู่ไม้ขนาดเล็ก ซึ่งขึ้นในที่โล่งเป็นหย่อม ๆ, บางทีก็เรียกว่า เกาะ, ถ้ามีลักษณะเป็นป่า ก็เรียกว่า ป่าละเมาะ.",,,,,
ละเมาะ ๒,น. ชื่อปลากระบอกขนาดเล็ก. **(ดู กระบอก ๒)** .,,,กระบอก ๒,,
ละเมิด,(๑) ก. ล่วงเกินหรือฝ่าฝืนจารีตประเพณีหรือกฎหมายที่มีบัญญัติไว้ (๒)  (กฎ) จงใจหรือประมาทเลินเล่อ ทำต่อบุคคลอื่นโดยผิดกฎหมายให้เขาเสียหายถึงแก่ชีวิต ร่างกาย อนามัย เสรีภาพ ทรัพย์สินหรือสิทธิ.,ละเมิดลิขสิทธิ์,,,,
ละเมิดลิขสิทธิ์,(กฎ) ก. กระทำอย่างหนึ่งอย่างใดต่องานที่มีลิขสิทธิ์ตามกฎหมาย ได้แก่ ทำซํ้าหรือดัดแปลง หรือเผยแพร่ต่อสาธารณชน โดยมิได้รับอนุญาตจากเจ้าของลิขสิทธิ์.,,ละเมิด,,,
ละเมียด,"(๑) ก. มิดชิดอย่างสุภาพ, มักใช้เข้าคู่กับคำ ละไม เป็น ละเมียดละไม (๒) ก. คล้ายคลึง, ละม้าย, มักใช้เข้าคู่กับคำ เหมือน เป็น ละเมียดเหมือน.",ละเมียดละไม,,,,
ละเมียดละไม,"ก. สุภาพนุ่มนวล เช่น กิริยามารยาทละเมียดละไม สำนวนละเมียดละไม, แนบเนียนไม่ขัดเขิน เช่น เข้าพระเข้านางได้ละเมียดละไม.",,ละเมียด,,,
ละเมียบ,"ก. ตีแต่งเหล็กที่เป็นรูปอยู่แล้วให้เรียบเป็นมัน, ลำเมียบ ลำเลียบ หรือ ลำเวียน ก็ว่า.",,,,,
ละแมะ,น. เครื่องมือรูปคล้ายจอบ สำหรับถากเรือโกลน.,,,,picture/36_lor_la-mae.jpg,
ละโมก,**ดู กระโดงแดง (๑)** .,,,"กระโดงแดง, กระโดงแดง",,
ละโมบ,"ก. โลภมาก, มักได้.",,,,,
ละไม ๑,"ว. น่ารักน่าเอ็นดู, งามชวนดู, ชื่นบาน, เช่น ยิ้มละไม งามละไม.",,,,,
ละไม ๒,น. ชื่อไม้ต้นชนิด **Baccaurea**  **motleyana** (Müll. Arg.) Müll. Arg. ในวงศ์ Euphorbiaceae ผลและรสคล้ายมะไฟ ต่างกันที่ขั้วผลมีกลีบเลี้ยงครอบ.,,,,,
ละรี,ก. แล่นไป. (ช.).,,,,,
ละลนละลาน,ว. ลนลาน เช่น ถูกดุเสียจนละลนละลาน.,,,,,
ละลมละลาย,ก. สูญหายไปหมด เช่น ข้าวของละลมละลายไป.,,,,,
ละลวย,"(๑) ก. งงงวย, ทำให้หลง, เช่น คาถามหาละลวย. (๒) ว. มีมาก, ได้มาก (๓) ว. อ่อน, นุ่ม.",,,,,
ละลอก,(๑) น. ระลอก (๒) น. โรคผิวหนังชนิดหนึ่ง เป็นเม็ดมีหนอง.,,,,,
ละลอบละเล้า,ว. รู้หลบหลีก.,,,,,
ละลัง,ว. รีบเร่ง.,,,,,
ละลัด,น. แมลงวัน. (ช.).,,,,,
ละล้า,"(กลอน) ก. ล่า, ช้า, หมดแรง.",,,,,
ละลาน,ก. ตื่นเต้น.,"ละลานตา, ละลานใจ",,,,
ละลานใจ,"ก. ตื่นใจ, วุ่นวายใจ, เช่น เห็นเพชรเม็ดงามละลานใจ.",,ละลาน,,,
ละลานตา,ก. ตื่นตา เช่น ผู้คนมากมายละลานตา.,,ละลาน,,,
ละลาบละล้วง,"ก. ล่วงเกิน, อาจเอื้อม, เช่น การถามเรื่องส่วนตัวถือเป็นการละลาบละล้วง.",,,,,
ละลาย,"(๑) ก. อาการที่ของแข็งเปลี่ยนสภาพเป็นของเหลวด้วยความร้อน เช่น นํ้าแข็งละลาย (๒) ก. คลายตัวหรือทำให้คลายตัวซึมซาบสลายไปในนํ้าหรือของเหลว เช่น ยาละลาย เกลือละลายในนํ้า ละลายยาหอม ละลายนํ้าตาลในนํ้ากะทิ, โดยปริยายหมายความว่า หายไป, หมดไป, เช่น พอเห็นนํ้าตา ความโกรธแค้นก็ละลายหายไป เอาเงินไปละลายในวงไพ่หมด (๓)  (วิทยา) อาการที่สารอย่างหนึ่งแผ่กระจายในสารอีกอย่างหนึ่งอย่างสมํ่าเสมอโดยไม่มีปฏิกิริยาเคมีต่อกัน เช่น คาร์บอนละลายในเหล็ก แอลกอฮอล์ละลายในนํ้า แก๊สออกซิเจนละลายในแก๊สไนโตรเจน ผลที่ได้เรียกว่า สารละลาย.",,,,,
ละล้าละลัง,"ว. ห่วงหน้าห่วงหลัง, พะวงหน้าพะวงหลัง, พะวักพะวน, เช่น เกิดไฟไหม้ละล้าละลังคว้าอะไรไม่ถูก.",,,,,
ละล้าว,ว. อย่างเกรงกลัว เช่น ไหว้ละล้าว (นิ. นรินทร์).,,,,,
ละล่ำละลัก,ก. อาการที่พูดไม่ได้เร็วอย่างใจกระอึกกระอักติด ๆ ขัด ๆ เพราะเหนื่อย ตกใจ ดีใจ หรือรีบร้อน เป็นต้น.,,,,,
ละลิบ,"ว. ลิบ, ลิ่ว, สูง, โด่ง, ไกล, ลอยไปไกล.",,,,,
ละลุง ๑,"(กลอน) ก. ใจเป็นห่วงถึง, เป็นทุกข์ถึง, ใจหาย.",,,,,
ละลุง ๒,(กลอน) ว. ชุลมุน.,,,,,
ละลุม,ก. ละเล้า.,,,,,
ละเลง,"ก. ป้ายทาหรือไล้ทาให้แผ่ออกไปด้วยวิธีวนเป็นวงกลม ๆ เช่น ละเลงขนมเบื้อง, โดยปริยายหมายความว่า ทำให้เลอะเทอะ เช่น เอาแป้งละเลงหน้า.","ละเลงขนมเบื้องด้วยปาก, ละเลงเลือด",,,,
ละเลงขนมเบื้องด้วยปาก,(สำ) ก. ดีแต่พูด แต่ทำไม่ได้.,,ละเลง,,,
ละเลงเลือด,ว. อาการที่ต่อสู้กันจนเลือดออกมากเปรอะไปด้วยกัน เช่น ทั้ง ๒ ฝ่ายต่อสู้กันถึงขั้นละเลงเลือด.,,ละเลง,,,
ละเล้า,"(๑) ก. เคล้าคลึง, คลอเคลีย, คลำ (๒) ก. สับสน, ปะปน, ใช้เข้าคู่กับคำ ละลุม เป็น ละเล้าละลุม ก็มี.",,,,,
ละเลาะ,ก. ค่อย ๆ ไป.,,,,,
ละเลาะละลอง,(๑) ก. บรรลุถึงฝั่ง (๒) ก. ค่อยเป็นค่อยไปจนกว่าจะบรรลุถึงเป้าหมาย.,,,,,
ละเลิง,ก. เหลิงจนลืมตัวเพราะลำพองหรือคึกคะนอง เช่น หลงละเลิงจนลืมอันตราย.,,,,,
ละเลียด,ก. กินทีละน้อย ๆ เช่น มัวละเลียดอยู่นั่นแหละ.,,,,,
ละเลียบ,ก. เลียบ.,,,,,
ละเลือก,ว. ลนลาน.,,,,,
ละไล้,"ก. ไล้, ลูบ, โลม.",,,,,
ละวล,"ว. ก้อง, อื้ออึง, สับสน.",,,,,
"ละว้อ, ละว้า ๑",น. คนชาวเขาตอนเหนือประเทศไทยพวกหนึ่งในตระกูลมอญ-เขมร.,,,,,
"ละว้อ, ละว้า ๑",น. คนชาวเขาตอนเหนือประเทศไทยพวกหนึ่งในตระกูลมอญ-เขมร.,,,,,
ละว้า ๒,น. เรียกย่ามขนาดใหญ่ชนิดหนึ่งมีครุยที่มุมล่างว่า ย่ามละว้า.,,,,,
ละวาด,(๑) ก. วาด. (๒) ว. คล้ายเขียน.,,,,,
ละเวง,"(๑) ว. เสียงเสนาะ, ก้อง, กังวาน (๒) ว. ฟุ้งเฟื่อง, ฟุ้งไป.",,,,,
ละแวก ๑,น. เขมรชาวกรุงละแวก.,,,,,
ละแวก ๒,น. เขตบริเวณ เช่น ละแวกบ้าน.,,,,,
ละโว้ ๑,น. ชื่อเก่าของเมืองลพบุรี.,,,,,
ละโว้ ๒,"น. ชื่อมะเขือพันธุ์หนึ่งของชนิด **Solanum**  **melongena** L. ผลกลม กินได้, มะเขือยาว ก็เรียก.",,,,,
ละหมาด,"น. การปฏิบัติศาสนกิจในศาสนาอิสลามเพื่อชำระจิตใจให้บริสุทธิ์ ปฏิบัติวันละ ๕ เวลา, นมาซ ก็เรียก.",ละหมาดญะนาซะฮ์,,,,
ละหมาดญะนาซะฮ์,น. การขอพรให้แก่ผู้ตายในพิธีฝังศพ.,,ละหมาด,,,
ละหลัด,"ว. หลัด ๆ, เร็ว ๆ.",,,,,
ละห้อย,(๑) ว. อาการที่พูดเว้าวอนด้วยน้ำเสียงอ่อย ๆ ก่อให้เกิดความสงสารเห็นอกเห็นใจ เช่น เสียงละห้อย (๒) ว. โศกเศร้าเพราะความผิดหวังหรือคิดถึง เช่น หน้าละห้อย.,ละห้อยละเหี่ย,,,,
ละห้อยละเหี่ย,ว. อาการที่อ่อนอกอ่อนใจเพราะผิดหวังหรือเหนื่อยมากเป็นต้น เช่น เดินละห้อยละเหี่ย.,,ละห้อย,,,
ละหาน ๑,น. ห้วงนํ้า. (เทียบ ข. ว่า รหาล).,,,,,
ละหาน ๒,ว. ห้อย.,,,,,
ละหาร,น. ห้วงน้ำ. (เทียบ ม. ว่า lahar).,,,,,
ละหุ่ง,น. ชื่อไม้พุ่มชนิด **Ricinus**  **communis** L. ในวงศ์ Euphorbiaceae เมล็ดเป็นพิษ นํ้ามันที่ได้จากการหีบโดยไม่ใช้ความร้อนใช้ทำยาได้.,,,,,
ละเหย,ก. ระเหย.,,,,,
ละเหี่ย,"ก. อ่อนใจ, อิดโรย, เช่น กินยาลมแก้ใจละเหี่ย, ละเหี่ยใจ ก็ว่า.",,,,,
ละอง,**ดู ละองละมั่ง** .,,,ละองละมั่ง,,
ละองละมั่ง,"น. ชื่อกวางชนิด **Cervus**  **eldi** McClelland ในวงศ์ Cervidae เป็นกวางขนาดกลาง ตัวสีนํ้าตาลอ่อน คอยาวกว่ากวางชนิดอื่น ตัวผู้เขาโค้งปลายชี้ไปด้านหน้า ตัวเมียไม่มีเขา ลูกเกิดใหม่มีจุดขาวตามลำตัว กินหญ้าและใบไม้ เป็นสัตว์ป่าสงวนของไทย, บ้างเรียกเพศผู้ว่า ละอง เรียกเพศเมียว่า ละมั่ง.",,,,,
ละออง,(๑) น. สิ่งซึ่งมีลักษณะเป็นผงเป็นฝอยละเอียดยิบ เช่น ละอองฝน ละอองน้ำ ละอองฟาง ละอองข้าว (๒) น. ฝ้าขาวที่ขึ้นในปากเด็กเล็ก ๆ เมื่อไม่สบาย เช่น เด็กท้องเสียลิ้นเป็นละออง.,,,,,
ละอาย,"ก. รู้สึกอายที่จะทำสิ่งไม่ถูกไม่ควร เช่น ละอายที่จะทำผิด, ละอายใจ ก็ว่า.",,,,,
ละเอียด,"(๑) ว. ไม่หยาบ เช่น บดยาให้ละเอียด ทรายละเอียด, เป็นเส้นเล็ก ๆ เช่น ผมเส้นละเอียด ยาฝอยเส้นละเอียด, เป็นผง, เป็นจุณ, เช่น แป้งผัดหน้าละเอียด, เป็นชิ้นเล็กชิ้นน้อย เช่น แก้วแตกละเอียด (๒) ว. ที่ต้องชี้แจงหรือแจกแจงโดยไม่ให้มีอะไรขาดตกบกพร่อง เช่น เรื่องนี้ต้องอธิบายโดยละเอียด (๓) ว. ถี่ถ้วน, รอบคอบ, เช่น เจ้าหน้าที่การเงินควรเป็นคนละเอียด, ประณีต เช่น ฝีมือสอยผ้าละเอียด ฝีมือถักเสื้อละเอียด.","ละเอียดลออ, ละเอียดอ่อน",,,,
ละเอียดลออ,"ว. ถี่ถ้วน, รอบคอบ, เช่น ตรวจบัญชีอย่างละเอียดลออ ดูแลข้าวของอย่างละเอียดลออ ไม่ให้ตกเรี่ยเสียหาย.",,ละเอียด,,,
ละเอียดอ่อน,"(๑) ว. ประณีต, นิ่มนวล, เช่น การรำไทยเป็นศิลปะที่ละเอียดอ่อน ศิลปะและดนตรีมีความละเอียดอ่อน (๒) ว. ลึกซึ้ง, สลับซับซ้อน, ยากที่จะเข้าใจได้, เช่น ศาสนาเป็นเรื่องละเอียดอ่อน (๓) ว. อ่อนไหวง่าย, สะเทือนใจง่าย, เช่น บางคนถือเรื่องส่วนตัว เรื่องการเงินเป็นเรื่องละเอียดอ่อน.",,ละเอียด,,,
ละแอน,(ถิ่น-พายัพ) น. ต้นกระชาย. **(ดู กระชาย)** .,,,กระชาย,,
ลัก,"(๑) ก. เอาสิ่งของที่เขาไม่ให้ไปด้วยอาการซ่อนเร้น, ขโมย, เช่น ลักทรัพย์, แอบทำ, ลอบทำ, เช่น ลักกินขนมในห้องเรียน ลักสูบบุหรี่ในห้องน้ำ. (๒) ว. เว้นข้ามไปทำให้เสียระเบียบ เช่น รถไฟลักหลีก ทำให้รถ ๒ ขบวนชนกัน.","ลักซ่อน, ลักตา, ลักทรัพย์, ลักพา, ลักยิ้ม, ลักลอบ, ลักลั่น, ลักลาย, ลักศพ, ลักสร้อย, ลักสี, ลักหลับ, ลักเค้า, ลักเพศ, ลักเลียม, ลักไก่",,,,
ลักไก่,"(ปาก) ก. หลอกล่อให้หลงเข้าใจผิด, ใช้อุบายลวงให้หลง, (มักใช้แก่การกีฬา) เช่น ยิงลูกลักไก่, ถือไพ่แต้มต่ำ แต่เพิ่มเค้าเพื่อให้อีกฝ่ายหนึ่งเข้าใจผิดว่าตนถือไพ่แต้มสูง (ใช้แก่การเล่นโป๊กเกอร์หรือเผ).",,ลัก,,,
ลักเค้า,ก. ลอบทำเอาแบบอย่างเขา.,,ลัก,,,
ลักซ่อน,ก. อาการที่คล้ายมีอะไรบางอย่างมาทำให้มองไม่เห็นหรือหาไม่พบ เชื่อกันว่าถูกผีลักไปซ่อนหรือผีบังตา.,,ลัก,,,
ลักตา,ว. อาการที่จงใจลักเดินตัวหมากรุกให้ผิดตาเพื่อเอาเปรียบคู่ต่อสู้ ในคำว่า เดินลักตา.,,ลัก,,,
ลักทรัพย์,(กฎ) น. เป็นฐานความผิดอาญา ที่ผู้กระทำเอาทรัพย์ของผู้อื่น หรือที่ผู้อื่นเป็นเจ้าของรวมอยู่ด้วยไปโดยทุจริต.,,ลัก,,,
ลักพา,ก. ลอบพาหญิงหนีไปในทางชู้สาว.,,ลัก,,,
ลักเพศ,(๑)  [ลักกะเพด] ก. ทำหรือแต่งตัวปลอมแปลงให้ผิดไปจากเพศของตน เช่นคฤหัสถ์แต่งตัวปลอมเพศเป็นสมณะ ผู้ชายแต่งตัวเป็นผู้หญิง (๒)  (ปาก) ก. ทำนอกลู่นอกทาง เช่นดื่มนํ้าทางหูถ้วย.,,ลัก,,,
ลักยิ้ม,น. รอยเล็ก ๆ ที่บุ๋มลงไปที่แก้ม.,,ลัก,,,
ลักลอบ,ก. ลอบกระทำการบางอย่าง เช่น ลักลอบได้เสียกัน ลักลอบเข้าเมือง ลักลอบเล่นการพนัน.,,ลัก,,,
ลักลั่น,ว. ขาดความเป็นระเบียบทำให้เกิดเหลื่อมลํ้าไม่เป็นไปตามกฎตามแบบตามลำดับเป็นต้น เช่น ทำงานลักลั่น เครื่องใช้ต่างชุดต่างสำรับใช้ปนกันดูลักลั่น.,,ลัก,,,
ลักลาย,ก. เขียนลายโดยร่นระยะช่องไฟเพื่อให้บรรจุลายได้ตามที่ต้องการ.,,ลัก,,,
ลักเลียม,ก. ทำทีเล่นทีจริงพอเจ้าของเผลอก็ขโมยเอาไว้.,,ลัก,,,
ลักศพ,ก. นำศพไปอย่างเงียบ ๆ เพื่อปลง.,,ลัก,,,
ลักสร้อย,(กลอน) ก. แอบร้องไห้.,,ลัก,,,
ลักสี,ก. ทำสีหนึ่งซึ่งขัดกับอีกสีหนึ่งให้กลืนกันโดยเอาสีอื่นเข้ารวม.,,ลัก,,,
ลักหลับ,ก. ลักลอบร่วมประเวณีขณะที่ผู้หญิงนอนหลับ.,,ลัก,,,
ลักขณะ,"(๑)  [-ขะหฺนะ] น. ลักษณะ, เครื่องแสดงสิ่งหนึ่งให้เห็นว่าต่างกับอีกสิ่งหนึ่ง, คุณภาพ (ป.; ส. ลกฺษณ). (๒) น. ประเภท. (ป.; ส. ลกฺษณ).",,,,,
ลักขณา,[-ขะนา]  (กลอน) ว. มีลักษณะดี.,,,,,
ลักขะ,"(๑) น. เครื่องหมาย, เป้า (ป.; ส. ลกฺษ). (๒) น. จำนวนแสนหนึ่ง. (ป.; ส. ลกฺษ).",,,,,
ลักขี,"น. โชค, ลาภ. (ป.; ส. ลกฺษมี).",,,,,
ลักจั่น,[ลักกะจั่น] น. นํ้าเต้าหรือภาชนะดินรูปคล้ายนํ้าเต้า สำหรับบรรจุนํ้าในเวลาเดินทางอย่างที่พระธุดงค์ใช้.,,,,,
ลักปิดลักเปิด,[ลักกะปิดลักกะเปิด] น. ชื่อโรคที่มีอาการเลือดออกตามไรฟันและเหงือกน่วมเนื่องจากขาดวิตามินซี.,,,,,
"ลักษณ-, ลักษณะ",(๑)  [-สะหฺนะ] น. สมบัติเฉพาะตัว เช่น น้ำมีลักษณะเป็นของเหลว ลูกบิลเลียดมีลักษณะกลม ลูกเต๋ามีลักษณะเหลี่ยม คนไทยมีลักษณะอ่อนโยน (ส.; ป. ลกฺขณ). (๒) น. ประเภท เช่น ใน ๓ ลักษณะ. (ส.; ป. ลกฺขณ).,"ลักษณนาม, ลักษณาการ",,,,
"ลักษณ-, ลักษณะ",(๑)  [-สะหฺนะ] น. สมบัติเฉพาะตัว เช่น น้ำมีลักษณะเป็นของเหลว ลูกบิลเลียดมีลักษณะกลม ลูกเต๋ามีลักษณะเหลี่ยม คนไทยมีลักษณะอ่อนโยน (ส.; ป. ลกฺขณ). (๒) น. ประเภท เช่น ใน ๓ ลักษณะ. (ส.; ป. ลกฺขณ).,"ลักษณนาม, ลักษณาการ",,,,
ลักษณนาม,(ไว) น. คำนามที่แสดงลักษณะของสิ่งต่าง ๆ เช่น คน ๓ `คน` แมว ๒ `ตัว` ขลุ่ย ๓ `เลา` ลูก `คน` โต หมวก `ใบ` ใหญ่.,,"ลักษณ-, ลักษณะ",,,
ลักษณาการ,น. ลักษณะที่ปรากฏให้เห็น.,,"ลักษณ-, ลักษณะ",,,
ลักษณาการ,"น. **ดู ลักษณ-,**  **ลักษณะ** .",,,"ลักษณ-, ลักษณ-, ลักษณะ, ลักษณะ",,
ลักษณ์,"(๑)  [ลัก]  (กลอน) น. จดหมาย, เรียกเต็มว่า อักษรลักษณ์ (๒)  (โบ) น. ลักษมณ์.",,,,,
ลักษมณ์,[ลัก] น. ชื่อน้ององค์หนึ่งของพระรามในเรื่องรามเกียรติ์. (ส. ลกฺษฺมณ).,,,,,
ลักษมาณา,น. แม่ทัพเรือ. (มลายู).,,,,,
ลักษมี,"(๑)  [ลักสะหฺมี] น. โชคลาภ, ความเจริญ, ทรัพย์ (ส.). (๒) น. ความงาม, เสน่ห์, สิริ (ส.). (๓) น. ชื่อเจ้าแม่แห่งลาภและความงาม เป็นชายาพระนารายณ์. (ส.).",,,,,
ลักษะ,น. ลักขะ. (ส.).,,,,,
ลัคคะ,"ว. ซึ่งติดต่อกัน, เกี่ยวพัน. (ป.; ส. ลคฺน).",,,,,
"ลัคน-, ลัคน์, ลัคนา","(๑)  [ลักคะนะ-, ลัก, ลักคะนา] น. ราศีที่ปรากฏขึ้นที่ขอบฟ้าทางทิศตะวันออกในเวลาเจ้าของชะตาเกิด เช่น นาย ก เกิดเวลา ๑๑.๐๐ น. ลัคนาสถิตราศีกันย์, ในดวงชะตาถ้าอาทิตย์อยู่ในราศีเดียวกับลัคน์ เรียกว่า อาทิตย์กุมลัคน์ (๒) น. เวลาหรือวันที่ถือว่าเป็นมงคลสำหรับลงมือทำการใด ๆ, ถ้าเป็นเวลาที่เป็นมงคล เรียกว่า ลัคนกาล ถ้าเป็นวันที่เป็นมงคล เรียกว่า ลัคนทิน เช่น โหรคำนวณว่าวันที่ ๑๔ พฤษภาคม เป็น ลัคนทิน เวลา ๑๗.๐๐ น. เป็น ลัคนกาล เป็นวันและเวลาที่เหมาะสำหรับทำพิธีรดนํ้าแต่งงาน.",,,,,
"ลัคน-, ลัคน์, ลัคนา","(๑)  [ลักคะนะ-, ลัก, ลักคะนา] น. ราศีที่ปรากฏขึ้นที่ขอบฟ้าทางทิศตะวันออกในเวลาเจ้าของชะตาเกิด เช่น นาย ก เกิดเวลา ๑๑.๐๐ น. ลัคนาสถิตราศีกันย์, ในดวงชะตาถ้าอาทิตย์อยู่ในราศีเดียวกับลัคน์ เรียกว่า อาทิตย์กุมลัคน์ (๒) น. เวลาหรือวันที่ถือว่าเป็นมงคลสำหรับลงมือทำการใด ๆ, ถ้าเป็นเวลาที่เป็นมงคล เรียกว่า ลัคนกาล ถ้าเป็นวันที่เป็นมงคล เรียกว่า ลัคนทิน เช่น โหรคำนวณว่าวันที่ ๑๔ พฤษภาคม เป็น ลัคนทิน เวลา ๑๗.๐๐ น. เป็น ลัคนกาล เป็นวันและเวลาที่เหมาะสำหรับทำพิธีรดนํ้าแต่งงาน.",,,,,
"ลัคน-, ลัคน์, ลัคนา","(๑)  [ลักคะนะ-, ลัก, ลักคะนา] น. ราศีที่ปรากฏขึ้นที่ขอบฟ้าทางทิศตะวันออกในเวลาเจ้าของชะตาเกิด เช่น นาย ก เกิดเวลา ๑๑.๐๐ น. ลัคนาสถิตราศีกันย์, ในดวงชะตาถ้าอาทิตย์อยู่ในราศีเดียวกับลัคน์ เรียกว่า อาทิตย์กุมลัคน์ (๒) น. เวลาหรือวันที่ถือว่าเป็นมงคลสำหรับลงมือทำการใด ๆ, ถ้าเป็นเวลาที่เป็นมงคล เรียกว่า ลัคนกาล ถ้าเป็นวันที่เป็นมงคล เรียกว่า ลัคนทิน เช่น โหรคำนวณว่าวันที่ ๑๔ พฤษภาคม เป็น ลัคนทิน เวลา ๑๗.๐๐ น. เป็น ลัคนกาล เป็นวันและเวลาที่เหมาะสำหรับทำพิธีรดนํ้าแต่งงาน.",,,,,
ลัง ๑,"น. ภาชนะต่อด้วยไม้หรือสานเป็นรูปสี่เหลี่ยมคล้ายหีบ สำหรับบรรจุสิ่งของ, โดยปริยายหมายถึงสิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น ลังพลาสติก ลังกระดาษ.",,,,,
ลัง ๒,"น. ชื่อปลาทะเลชนิด **Rastrelliger**  **kanagurta** (Cuvier) ในวงศ์ Scombridae รูปร่างและลักษณะทั่วไปคล้ายปลาทู แต่ขนาดใหญ่และลำตัวเพรียวกว่าเล็กน้อย ปากกว้าง ลำตัวสีน้ำเงินปนเทาและมีแถวจุดบริเวณ ๒ ข้างของครีบหลังเข้มกว่าปลาทู มีลายเส้นสีทึบพาดตามยาวข้างลำตัว ๒-๓ เส้น มีชุกชุมโดยอยู่รวมกันเป็นฝูงในบริเวณห่างฝั่งมากกว่าปลาทู, ทูโม่ง หรือ ทูลัง ก็เรียก.",,,,,
ลั่ง,ว. อวบ เช่น ทุเรียนพูลั่ง.,,,,,
ลังกา,น. ชื่อเกาะแห่งหนึ่งอยู่ทางใต้ของประเทศอินเดีย.,,,,,
ลังแข,**ดู ลำแข** .,,,ลำแข,,
"ลังคิ, ลังคี","น. กลอน, ลิ่ม, เครื่องกีดขวาง. (ป.).",,,,,
"ลังคิ, ลังคี","น. กลอน, ลิ่ม, เครื่องกีดขวาง. (ป.).",,,,,
